value,metric,gen,run,enemy_group,enemy
19.68083477034114,max,0,0,,0.0
-2.790061367931479,mean,0,0,,0.0
21.0672781542752,max,1,0,,0.0
0.047520942046127404,mean,1,0,,0.0
25.28577234183265,max,2,0,,0.0
5.276360414172505,mean,2,0,,0.0
25.28577234183265,max,3,0,,0.0
3.823795781099827,mean,3,0,,0.0
25.28577234183265,max,4,0,,0.0
7.0675700630802245,mean,4,0,,0.0
25.28577234183265,max,5,0,,0.0
6.842779804190915,mean,5,0,,0.0
25.650523372116123,max,6,0,,0.0
6.979448639052988,mean,6,0,,0.0
25.650523372116123,max,7,0,,0.0
7.667170833497095,mean,7,0,,0.0
26.11219529579256,max,8,0,,0.0
10.357159934891571,mean,8,0,,0.0
26.11219529579256,max,9,0,,0.0
6.813389420472081,mean,9,0,,0.0
26.11219529579256,max,10,0,,0.0
5.923067239817649,mean,10,0,,0.0
27.028078154380413,max,11,0,,0.0
9.26624924803602,mean,11,0,,0.0
27.028078154380413,max,12,0,,0.0
8.141438518763032,mean,12,0,,0.0
34.21295333089587,max,13,0,,0.0
8.908069932529838,mean,13,0,,0.0
34.21295333089587,max,14,0,,0.0
7.155011459065654,mean,14,0,,0.0
34.21295333089587,max,15,0,,0.0
8.751212146025235,mean,15,0,,0.0
34.21295333089587,max,16,0,,0.0
7.468799341214732,mean,16,0,,0.0
34.21295333089587,max,17,0,,0.0
8.539164023894969,mean,17,0,,0.0
34.21295333089587,max,18,0,,0.0
6.179808279633233,mean,18,0,,0.0
34.21295333089587,max,19,0,,0.0
9.027648489847746,mean,19,0,,0.0
20.196173998181276,max,0,1,,0.0
-3.868947676707252,mean,0,1,,0.0
21.368869927156325,max,1,1,,0.0
1.0052034291380938,mean,1,1,,0.0
29.450313833253613,max,2,1,,0.0
1.4103517867041384,mean,2,1,,0.0
29.450313833253613,max,3,1,,0.0
5.222402010151199,mean,3,1,,0.0
29.450313833253613,max,4,1,,0.0
3.650061583014596,mean,4,1,,0.0
29.450313833253613,max,5,1,,0.0
5.738210853964192,mean,5,1,,0.0
32.48134441863522,max,6,1,,0.0
6.948156933527907,mean,6,1,,0.0
32.48134441863522,max,7,1,,0.0
6.146164327087721,mean,7,1,,0.0
